,Neighborhood,City,Latitude,Longitude,Venue,Venue Category,Category,Address
11670,Toronto Dominion Centre,Toronto,43.64736955,-79.3813733580709,Brooks Brothers,Clothing Store,Shop & Service,"('Toronto Dominion Centre', 'Toronto')"
11671,Toronto Dominion Centre,Toronto,43.64736955,-79.3813733580709,Shoppers Drug Mart,Pharmacy,Shop & Service,"('Toronto Dominion Centre', 'Toronto')"
11672,Toronto Dominion Centre,Toronto,43.64736955,-79.3813733580709,Sushi-Q,Sushi Restaurant,Food,"('Toronto Dominion Centre', 'Toronto')"
11673,Exhibition Place,Toronto,43.63381345,-79.417140724094,Honda Indy Toronto,Racetrack,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11674,Exhibition Place,Toronto,43.63381345,-79.417140724094,CIBC Pan Am Park,Athletics & Sports,Outdoors & Recreation,"('Exhibition Place', 'Toronto')"
11675,Exhibition Place,Toronto,43.63381345,-79.417140724094,BMO Field,Soccer Stadium,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11676,Exhibition Place,Toronto,43.63381345,-79.417140724094,CNE Midway,Theme Park,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11677,Exhibition Place,Toronto,43.63381345,-79.417140724094,CNE Skyride,Theme Park,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11678,Exhibition Place,Toronto,43.63381345,-79.417140724094,Section 115,Soccer Stadium,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11679,Exhibition Place,Toronto,43.63381345,-79.417140724094,Exhibit Hall A,Flea Market,Shop & Service,"('Exhibition Place', 'Toronto')"
11680,Exhibition Place,Toronto,43.63381345,-79.417140724094,Food Building,Food Court,Food,"('Exhibition Place', 'Toronto')"
11681,Exhibition Place,Toronto,43.63381345,-79.417140724094,Bud Light Beer Patio,Brewery,Nightlife Spot,"('Exhibition Place', 'Toronto')"
11682,Exhibition Place,Toronto,43.63381345,-79.417140724094,Smoke's Poutinerie,Poutine Place,Food,"('Exhibition Place', 'Toronto')"
11683,Exhibition Place,Toronto,43.63381345,-79.417140724094,Tiny Tom's Donuts,Donut Shop,Food,"('Exhibition Place', 'Toronto')"
11684,Exhibition Place,Toronto,43.63381345,-79.417140724094,Section 109,Soccer Stadium,Arts & Entertainment,"('Exhibition Place', 'Toronto')"
11685,Exhibition Place,Toronto,43.63381345,-79.417140724094,Food Dudes,Food Truck,Food,"('Exhibition Place', 'Toronto')"
11686,Exhibition Place,Toronto,43.63381345,-79.417140724094,Bouchard's Poutinery,Poutine Place,Food,"('Exhibition Place', 'Toronto')"
11687,Parkdale Village,Toronto,43.6404954,-79.4368965,Loga's Corner,Tibetan Restaurant,Food,"('Parkdale Village', 'Toronto')"
11688,Parkdale Village,Toronto,43.6404954,-79.4368965,Mother India,Indian Restaurant,Food,"('Parkdale Village', 'Toronto')"
11689,Parkdale Village,Toronto,43.6404954,-79.4368965,Tennessee Tavern,Eastern European Restaurant,Food,"('Parkdale Village', 'Toronto')"
11690,Parkdale Village,Toronto,43.6404954,-79.4368965,Skyline Restaurant,Diner,Food,"('Parkdale Village', 'Toronto')"
11691,Parkdale Village,Toronto,43.6404954,-79.4368965,Om Restaurant,Indian Restaurant,Food,"('Parkdale Village', 'Toronto')"
11692,Parkdale Village,Toronto,43.6404954,-79.4368965,Himalayan Kitchen,Tibetan Restaurant,Food,"('Parkdale Village', 'Toronto')"
11693,Parkdale Village,Toronto,43.6404954,-79.4368965,Common Sort,Thrift / Vintage Store,Shop & Service,"('Parkdale Village', 'Toronto')"
11694,Parkdale Village,Toronto,43.6404954,-79.4368965,Capital Espresso And Pastries,Café,Food,"('Parkdale Village', 'Toronto')"
11695,Parkdale Village,Toronto,43.6404954,-79.4368965,Norling,Tibetan Restaurant,Food,"('Parkdale Village', 'Toronto')"
11696,Parkdale Village,Toronto,43.6404954,-79.4368965,Ali's West Indian Roti Shop,Caribbean Restaurant,Food,"('Parkdale Village', 'Toronto')"
11697,Parkdale Village,Toronto,43.6404954,-79.4368965,Himalayan Cafe,Café,Food,"('Parkdale Village', 'Toronto')"
11698,Parkdale Village,Toronto,43.6404954,-79.4368965,Tibet Kitchen,Restaurant,Food,"('Parkdale Village', 'Toronto')"
11699,Parkdale Village,Toronto,43.6404954,-79.4368965,LCBO,Liquor Store,Shop & Service,"('Parkdale Village', 'Toronto')"
11700,Parkdale Village,Toronto,43.6404954,-79.4368965,Glory of India,North Indian Restaurant,Food,"('Parkdale Village', 'Toronto')"
11701,Parkdale Village,Toronto,43.6404954,-79.4368965,Parkdale Guardian Pharmacy,Pharmacy,Shop & Service,"('Parkdale Village', 'Toronto')"
11702,Parkdale Village,Toronto,43.6404954,-79.4368965,Shoppers Drug Mart,Pharmacy,Shop & Service,"('Parkdale Village', 'Toronto')"
11703,Parkdale Village,Toronto,43.6404954,-79.4368965,A&W Canada,Fast Food Restaurant,Food,"('Parkdale Village', 'Toronto')"
11704,Parkdale Village,Toronto,43.6404954,-79.4368965,Rice & Noodle,Chinese Restaurant,Food,"('Parkdale Village', 'Toronto')"
11705,Parkdale Village,Toronto,43.6404954,-79.4368965,TD Canada Trust,Bank,Shop & Service,"('Parkdale Village', 'Toronto')"
11706,Parkdale Village,Toronto,43.6404954,-79.4368965,Subway® Restaurants,Sandwich Place,Food,"('Parkdale Village', 'Toronto')"
11707,Parkdale Village,Toronto,43.6404954,-79.4368965,Pizza Pizza,Pizza Place,Food,"('Parkdale Village', 'Toronto')"
11708,Parkdale Village,Toronto,43.6404954,-79.4368965,A+ Sushi & Bibim,Korean Restaurant,Food,"('Parkdale Village', 'Toronto')"
11709,Parkdale Village,Toronto,43.6404954,-79.4368965,Old Man Pizza,Pizza Place,Food,"('Parkdale Village', 'Toronto')"
11710,Parkdale Village,Toronto,43.6404954,-79.4368965,The Grill Cottage,Restaurant,Food,"('Parkdale Village', 'Toronto')"
11711,Parkdale Village,Toronto,43.6404954,-79.4368965,Salvation Army Thrift Store,Clothing Store,Shop & Service,"('Parkdale Village', 'Toronto')"
11712,Parkdale Village,Toronto,43.6404954,-79.4368965,TTC Stop #06840,Light Rail Station,Travel & Transport,"('Parkdale Village', 'Toronto')"
11713,Parkdale Village,Toronto,43.6404954,-79.4368965,Superpoint Express,Pizza Place,Food,"('Parkdale Village', 'Toronto')"
11714,Golden Mile,Toronto,43.7278414,-79.2876217,California Sandwiches,Sandwich Place,Food,"('Golden Mile', 'Toronto')"
11715,Golden Mile,Toronto,43.7278414,-79.2876217,Fat Bastard Burrito Co,Burrito Place,Food,"('Golden Mile', 'Toronto')"
11716,Golden Mile,Toronto,43.7278414,-79.2876217,Smith Bros. Steakhouse & Tavern,Steakhouse,Food,"('Golden Mile', 'Toronto')"
11717,Golden Mile,Toronto,43.7278414,-79.2876217,Five Guys,Burger Joint,Food,"('Golden Mile', 'Toronto')"
11718,Golden Mile,Toronto,43.7278414,-79.2876217,Hakka Legend,Chinese Restaurant,Food,"('Golden Mile', 'Toronto')"
11719,Golden Mile,Toronto,43.7278414,-79.2876217,Burrito Boyz,Burrito Place,Food,"('Golden Mile', 'Toronto')"
11720,Golden Mile,Toronto,43.7278414,-79.2876217,Lick's Homeburgers,Burger Joint,Food,"('Golden Mile', 'Toronto')"
11721,Golden Mile,Toronto,43.7278414,-79.2876217,Pizza pizza,Pizza Place,Food,"('Golden Mile', 'Toronto')"
11722,Golden Mile,Toronto,43.7278414,-79.2876217,Kelsey's,American Restaurant,Food,"('Golden Mile', 'Toronto')"
11723,Golden Mile,Toronto,43.7278414,-79.2876217,McDonald's,Fast Food Restaurant,Food,"('Golden Mile', 'Toronto')"
11724,Golden Mile,Toronto,43.7278414,-79.2876217,Eggsmart,Breakfast Spot,Food,"('Golden Mile', 'Toronto')"
11725,Golden Mile,Toronto,43.7278414,-79.2876217,Warden Ave & Eglinton Ave E,Intersection,Travel & Transport,"('Golden Mile', 'Toronto')"
11726,Golden Mile,Toronto,43.7278414,-79.2876217,Merchant's Flea Market,Flea Market,Shop & Service,"('Golden Mile', 'Toronto')"
11727,Golden Mile,Toronto,43.7278414,-79.2876217,Quesada Burritos And Tacos,Burrito Place,Food,"('Golden Mile', 'Toronto')"
